image_path,crop_label,grade_label,source,split
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_142244.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_142310.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_142316.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_142543.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_142548.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_142616.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_142628.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_142644.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_142727.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_142733.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_142741.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_142745.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_142811.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_142819.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143144.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143205.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143215.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143229.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143233.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143246.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143253.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143258.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143306.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143309.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143320.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143352.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143400.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143408.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143412.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143420.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143436.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143502.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143541.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143716.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143721.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143725.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143736.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143849.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143859.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143923.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143927.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143931.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143935.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_143949.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144015.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144055.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144100.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144138.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144206.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144221.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144231.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144240.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144259.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144306.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144317.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144325.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144331.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144347.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144415.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144429.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144511.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144544.jpg,mango,A,pakistani_mango_grading,train
data/raw/mango/Grading_dataset/Extra_Class/IMG_20210703_144547.jpg,mango,A,pakistani_mango_grading,train
